0383
DTN_STM009
yyyy/MM/dd hh:mm:ss,DFINAL (mm),QFINAL (l/s),VFINAL (m/s)
2023-09-02 03:45:00,35.76103,2.904111,0.2962493
2023-09-02 03:50:00,35.43819,2.669774,0.2760228
2023-09-02 03:55:00,35.60661,2.900173,0.2977455
2023-09-02 04:00:00,36.49663,3.237232,0.3204992
2023-09-02 04:05:00,39.40572,4.661899,0.4116126
2023-09-02 04:10:00,40.90706,4.44465,0.3712719
2023-09-02 04:15:00,42.79278,5.014955,0.391901
2023-09-02 04:20:00,43.40951,5.046344,0.385917
2023-09-02 04:25:00,42.71022,4.346183,0.3406357
2023-09-02 04:30:00,40.65754,3.531135,0.297631
2023-09-02 04:35:00,38.91729,3.210412,0.2888114
2023-09-02 04:40:00,38.39061,3.295514,0.302632
2023-09-02 04:45:00,37.36959,2.416159,0.2311266
2023-09-02 04:50:00,37.85172,2.846469,0.2670779
2023-09-02 04:55:00,38.50382,3.339529,0.3053094
2023-09-02 05:00:00,38.67107,3.936965,0.3575779
2023-09-02 05:05:00,39.52504,4.366973,0.3838342
2023-09-02 05:10:00,38.827,3.709407,0.3348708
2023-09-02 05:15:00,37.43984,3.239835,0.3090779
2023-09-02 05:20:00,37.21387,3.234822,0.3113152
2023-09-02 05:25:00,37.49907,3.033074,0.288693
2023-09-02 05:30:00,37.67142,3.007927,0.284295
2023-09-02 05:35:00,41.11609,3.786377,0.3139282
2023-09-02 05:40:00,41.97535,4.101642,0.3299605
2023-09-02 05:45:00,42.3545,3.870894,0.3072705
2023-09-02 05:50:00,42.31934,3.708668,0.2947663
2023-09-02 05:55:00,41.63895,3.7912,0.3085769
2023-09-02 06:00:00,39.98627,2.961617,0.2558513
2023-09-02 06:05:00,38.83411,2.505446,0.2261195
2023-09-02 06:10:00,38.25216,2.528543,0.2334761
2023-09-02 06:15:00,37.76821,2.84952,0.268268
2023-09-02 06:20:00,38.14783,3.296503,0.3056526
2023-09-02 06:25:00,39.41748,3.417745,0.301628
2023-09-02 06:30:00,39.56074,3.63783,0.3193156
2023-09-02 06:35:00,39.34651,3.588171,0.3175237
2023-09-02 06:40:00,39.22146,3.259932,0.2898562
2023-09-02 06:45:00,39.41346,3.297497,0.29106
2023-09-02 06:50:00,39.55128,3.546407,0.3114019
2023-09-02 06:55:00,39.49731,3.324942,0.2925517
2023-09-02 07:00:00,38.97486,3.046245,0.273434
2023-09-02 07:05:00,40.16947,4.216488,0.3617968
2023-09-02 07:10:00,42.50232,4.894423,0.3864609
2023-09-02 07:15:00,44.26915,4.376506,0.3249996
2023-09-02 07:20:00,46.37521,4.479598,0.3106188
2023-09-02 07:25:00,47.54571,5.193985,0.3470187
2023-09-02 07:30:00,47.52483,5.185717,0.3466963
2023-09-02 07:35:00,46.21382,4.582628,0.3193843
2023-09-02 07:40:00,43.87653,4.076872,0.3068066
2023-09-02 07:45:00,44.03719,4.296139,0.3215439
2023-09-02 07:50:00,45.1768,5.033622,0.3627074
2023-09-02 07:55:00,44.74426,4.995744,0.3651405
2023-09-02 08:00:00,43.30002,4.066494,0.312169
2023-09-02 08:05:00,42.36109,3.998128,0.3172951
2023-09-02 08:10:00,42.25549,4.058526,0.3233173
2023-09-02 08:15:00,41.72897,3.344651,0.2713761
2023-09-02 08:20:00,41.1152,3.080548,0.255416
2023-09-02 08:25:00,41.04335,4.036335,0.3355222
2023-09-02 08:30:00,41.21852,3.947212,0.3260724
2023-09-02 08:35:00,43.44067,4.439817,0.3391664
2023-09-02 08:40:00,43.57742,4.786716,0.3639422
2023-09-02 08:45:00,43.64381,4.669562,0.3542237
2023-09-02 08:50:00,43.4354,4.118276,0.3146607
2023-09-02 08:55:00,42.97971,3.798905,0.2949168
2023-09-02 09:00:00,42.40359,3.68325,0.2918595
2023-09-02 09:05:00,41.39713,3.504845,0.2877042
2023-09-02 09:10:00,40.31392,4.103953,0.3502741
2023-09-02 09:15:00,40.3541,4.25966,0.3630284
2023-09-02 09:20:00,41.38996,4.657226,0.3823971
2023-09-02 09:25:00,42.18722,4.439492,0.3545411
2023-09-02 09:30:00,41.93184,4.448491,0.3584024
2023-09-02 09:35:00,41.73865,4.497755,0.3648127
2023-09-02 09:40:00,48.22678,5.878418,0.3844214
2023-09-02 09:45:00,52.12621,7.259888,0.4230855
2023-09-02 09:50:00,52.11074,6.239283,0.3637705
2023-09-02 09:55:00,51.69595,5.646388,0.3332083
2023-09-02 10:00:00,49.60239,5.493886,0.3445242
2023-09-02 10:05:00,47.86809,5.450836,0.3604839
2023-09-02 10:10:00,47.70115,5.400064,0.3590126
2023-09-02 10:15:00,47.94989,4.995817,0.3295434
2023-09-02 10:20:00,47.03341,4.836683,0.3284979
2023-09-02 10:25:00,48.5604,6.560938,0.4246457
2023-09-02 10:30:00,48.68625,6.12494,0.3948956
2023-09-02 10:35:00,47.97017,5.127159,0.3379921
2023-09-02 10:40:00,47.25721,4.775689,0.3220257
2023-09-02 10:45:00,45.97979,4.824804,0.3387691
2023-09-02 10:50:00,45.0726,4.528982,0.3274599
2023-09-02 10:55:00,45.80757,4.656979,0.3287889
2023-09-02 11:00:00,45.73939,4.875545,0.3449733
2023-09-02 11:05:00,47.25866,5.529603,0.3728449
2023-09-02 11:10:00,47.5081,5.65297,0.3781364
2023-09-02 11:15:00,47.74986,5.27386,0.3500826
2023-09-02 11:20:00,47.86935,5.636557,0.3727516
2023-09-02 11:25:00,48.05412,5.62937,0.3701237
2023-09-02 11:30:00,47.5619,5.476372,0.3656971
2023-09-02 11:35:00,46.43954,5.644462,0.390601
2023-09-02 11:40:00,46.17681,5.384824,0.3757327
2023-09-02 11:45:00,48.64206,5.792587,0.3739749
2023-09-02 11:50:00,50.97661,6.924223,0.4171134
2023-09-02 11:55:00,49.96283,6.153038,0.3817532
2023-09-02 12:00:00,49.28368,5.021224,0.3179073
2023-09-02 12:05:00,49.34376,5.018494,0.3171603
2023-09-02 12:10:00,47.73039,5.25184,0.3488354
2023-09-02 12:15:00,46.33605,5.3144,0.368959
2023-09-02 12:20:00,45.41168,5.651306,0.4041134
2023-09-02 12:25:00,44.0237,5.408566,0.4049889
2023-09-02 12:30:00,44.97422,5.141177,0.3729269
2023-09-02 12:35:00,45.21125,4.9966,0.3596348
2023-09-02 12:40:00,45.06131,4.926409,0.3563271
2023-09-02 12:45:00,45.98869,4.881721,0.3426684
2023-09-02 12:50:00,45.98696,4.674883,0.3281676
2023-09-02 12:55:00,45.39744,4.895743,0.3502465
2023-09-02 13:00:00,44.91578,4.952269,0.3599161
2023-09-02 13:05:00,44.63519,4.641708,0.3404952
2023-09-02 13:10:00,44.36847,4.798741,0.3551666
2023-09-02 13:15:00,44.85487,4.828375,0.3516179
2023-09-02 13:20:00,46.21265,5.058719,0.3525783
2023-09-02 13:25:00,47.3381,5.674479,0.3816407
2023-09-02 13:30:00,46.69361,5.461144,0.3749251
2023-09-02 13:35:00,46.25746,5.583716,0.3886186
2023-09-02 13:40:00,45.55585,5.394901,0.3839827
2023-09-02 13:45:00,44.08997,4.539368,0.3391407
2023-09-02 13:50:00,43.73921,4.809381,0.3636363
2023-09-02 13:55:00,43.35279,4.635399,0.355189
2023-09-02 14:00:00,43.33481,4.340924,0.3328328
2023-09-02 14:05:00,46.10472,5.059372,0.3538312
2023-09-02 14:10:00,47.20695,5.514101,0.3724177
