0383
DTN_SAN006
yyyy/MM/dd hh:mm:ss,DFINAL (mm),QFINAL (l/s),VFINAL (m/s)
2024-02-12 11:05:00,81.416,32.70192,1.667463
2024-02-12 11:10:00,80.103,31.13984,1.625388
2024-02-12 11:15:00,78.079,29.68692,1.607732
2024-02-12 11:20:00,76.041,28.0611,1.578773
2024-02-12 11:25:00,76.447,28.71356,1.603104
2024-02-12 11:30:00,76.63,28.94634,1.61054
2024-02-12 11:35:00,76.958,28.81984,1.59367
2024-02-12 11:40:00,76.988,28.81044,1.592258
2024-02-12 11:45:00,67.483,22.13383,1.480039
2024-02-12 11:50:00,74.149,27.06153,1.578947
2024-02-12 11:55:00,75.487,28.06455,1.595752
2024-02-12 12:00:00,74.464,27.53816,1.596928
2024-02-12 12:05:00,70.629,24.99821,1.564825
2024-02-12 12:10:00,66.663,22.58052,1.536973
2024-02-12 12:15:00,63.107,20.0735,1.479536
2024-02-12 12:20:00,60.465,18.67414,1.464684
2024-02-12 12:25:00,65.524,21.47984,1.499037
2024-02-12 12:30:00,68.752,23.27989,1.515242
2024-02-12 12:35:00,69.24,23.7276,1.528598
2024-02-12 12:40:00,69.885,24.49345,1.556904
2024-02-12 12:45:00,66.401,22.08531,1.511845
2024-02-12 12:50:00,64.26,20.17284,1.448198
2024-02-12 12:55:00,64.111,18.60073,1.339846
2024-02-12 13:00:00,61.809,18.1282,1.377135
2024-02-12 13:05:00,62.98,19.69295,1.455725
2024-02-12 13:10:00,61.40499,18.6732,1.43216
2024-02-12 13:15:00,60.36,18.11973,1.424806
2024-02-12 13:20:00,60.035,17.77159,1.408493
2024-02-12 13:25:00,59.908,17.78385,1.413838
2024-02-12 13:30:00,59.437,17.61012,1.416182
2024-02-12 13:35:00,62.536,20.18854,1.507751
2024-02-12 13:40:00,65.507,21.81651,1.523108
2024-02-12 13:45:00,67.106,23.04226,1.553382
2024-02-12 13:50:00,67.342,23.41829,1.570693
2024-02-12 13:55:00,68.24,24.18633,1.591372
2024-02-12 14:00:00,73.681,27.27968,1.606321
2024-02-12 14:05:00,73.749,27.17935,1.59829
2024-02-12 14:10:00,74.014,27.3597,1.600566
2024-02-12 14:15:00,74.057,27.05258,1.581268
2024-02-12 14:20:00,71.467,25.40086,1.5631
2024-02-12 14:25:00,69.241,24.21876,1.560208
2024-02-12 14:30:00,69.164,24.0589,1.552413
2024-02-12 14:35:00,69.59,24.44285,1.563218
2024-02-12 14:40:00,72.497,25.86225,1.558907
2024-02-12 14:45:00,70.791,24.70837,1.541547
2024-02-12 14:50:00,70.182,24.14512,1.525401
2024-02-12 14:55:00,69.509,23.7797,1.523372
2024-02-12 15:00:00,66.516,21.75935,1.48581
2024-02-12 15:05:00,62.237,19.63759,1.476863
2024-02-12 15:10:00,61.867,18.50775,1.404044
2024-02-12 15:15:00,61.385,17.98782,1.380245
2024-02-12 15:20:00,60.149,17.66276,1.395991
2024-02-12 15:25:00,59.732,17.63605,1.408128
2024-02-12 15:30:00,58.845,17.19089,1.402738
2024-02-12 15:35:00,58.376,16.81795,1.388434
2024-02-12 15:40:00,59.282,17.46088,1.409513
2024-02-12 15:45:00,59.226,17.3963,1.406229
2024-02-12 15:50:00,59.54,17.12358,1.373602
2024-02-12 15:55:00,59.284,16.95126,1.368307
2024-02-12 16:00:00,59.393,17.0102,1.369409
2024-02-12 16:05:00,59.18299,17.12147,1.385476
2024-02-12 16:10:00,59.42,17.21131,1.384685
2024-02-12 16:15:00,59.924,17.31504,1.376029
2024-02-12 16:20:00,59.849,17.39741,1.385112
2024-02-12 16:25:00,58.777,17.03876,1.39267
2024-02-12 16:30:00,62.834,20.64393,1.531162
2024-02-12 16:35:00,60.262,18.60332,1.466304
2024-02-12 16:40:00,59.874,17.94913,1.428164
2024-02-12 16:45:00,59.033,17.68125,1.436063
2024-02-12 16:50:00,58.757,17.26979,1.412254
2024-02-12 16:55:00,58.27,16.88322,1.397535
2024-02-12 17:00:00,58.274,16.88438,1.39749
2024-02-12 17:05:00,57.85101,16.65847,1.393529
