0383
CHA_407594_US1
yyyy/MM/dd hh:mm:ss,DFINAL (mm),QFINAL (l/s),VFINAL (m/s)
2023-11-28 22:15:00,23.81,4.977884,1.25
2023-11-28 22:20:00,30.49,6.792314,1.18
2023-11-28 22:25:00,24.74,4.430585,1.05
2023-11-28 22:30:00,24.75,4.391042,1.04
2023-11-28 22:35:00,24.87,4.72058,1.11
2023-11-28 22:40:00,24.9,4.771681,1.12
2023-11-28 22:45:00,24.92,4.436154,1.04
2023-11-28 22:50:00,37.43,8.347602,1.07
2023-11-28 22:55:00,23.81,4.261068,1.07
2023-11-28 23:00:00,23.81,4.340715,1.09
2023-11-28 23:05:00,23.81,4.500007,1.13
2023-11-28 23:10:00,23.81,4.460184,1.12
2023-11-28 23:15:00,24.19,4.772743,1.17
2023-11-28 23:20:00,23.81,4.738945,1.19
2023-11-28 23:25:00,28.25,6.731892,1.31
2023-11-28 23:30:00,27.99,5.981707,1.18
2023-11-28 23:35:00,30.96,7.006259,1.19
2023-11-28 23:40:00,23.81,5.017707,1.26
2023-11-28 23:45:00,23.81,5.017707,1.26
2023-11-28 23:50:00,29.18,7.06079,1.31
2023-11-28 23:55:00,29.14,6.562053,1.22
2023-11-29 00:00:00,33.09,7.084525,1.09
2023-11-29 00:05:00,27.54,5.295187,1.07
2023-11-29 00:10:00,23.81,4.380538,1.1
2023-11-29 00:15:00,23.81,4.420361,1.11
2023-11-29 00:20:00,23.81,4.53983,1.14
2023-11-29 00:25:00,29.35,6.089943,1.12
2023-11-29 00:30:00,29.27,6.06489,1.12
2023-11-29 00:35:00,31.33,6.35053,1.06
2023-11-29 00:40:00,28.97,6.131342,1.15
2023-11-29 00:45:00,29.03,6.63149,1.24
2023-11-29 00:50:00,30.63,7.475991,1.29
2023-11-29 00:55:00,23.81,5.296469,1.33
2023-11-29 01:00:00,24.76,5.027402,1.19
2023-11-29 01:05:00,23.81,4.858414,1.22
2023-11-29 01:10:00,23.81,4.738945,1.19
2023-11-29 01:15:00,23.81,5.017707,1.26
2023-11-29 01:20:00,29.54,6.698501,1.22
2023-11-29 01:25:00,23.81,4.938061,1.24
2023-11-29 01:30:00,29.08,6.00539,1.12
2023-11-29 01:35:00,25.61,5.329911,1.2
