0383
DTN_SAN008
yyyy/MM/dd hh:mm:ss,DFINAL (mm),QFINAL (l/s),VFINAL (m/s)
2023-09-27 22:40:00,114.5,24.06545,0.69
2023-09-27 22:45:00,111.65,23.21686,0.69
2023-09-27 22:50:00,111.47,22.82777,0.68
2023-09-27 22:55:00,113.13,23.3136,0.68
2023-09-27 23:00:00,113.94,23.55192,0.68
2023-09-27 23:05:00,114.4,23.68725,0.68
2023-09-27 23:10:00,109.21,21.84423,0.67
2023-09-27 23:15:00,109.46,21.91574,0.67
2023-09-27 23:20:00,107.87,20.8219,0.6499999
2023-09-27 23:25:00,106.41,19.16342,0.61
2023-09-27 23:30:00,106.22,20.0547,0.64
2023-09-27 23:35:00,106.66,20.17327,0.64
2023-09-27 23:40:00,106.03,20.00351,0.64
2023-09-27 23:45:00,105.52,20.17653,0.6499999
2023-09-27 23:50:00,105.68,20.22031,0.6499999
2023-09-27 23:55:00,104.96,20.94748,0.68
2023-09-28 00:00:00,106.49,21.3854,0.68
2023-09-28 00:05:00,106.72,20.82047,0.6600001
2023-09-28 00:10:00,106.14,20.65918,0.6600001
2023-09-28 00:15:00,105.07,20.36193,0.6600001
2023-09-28 00:20:00,104.82,20.59994,0.67
2023-09-28 00:25:00,106.2,21.30239,0.68
2023-09-28 00:30:00,104.81,20.59712,0.67
2023-09-28 00:35:00,103.48,19.92249,0.6600001
2023-09-28 00:40:00,102.75,19.72117,0.6600001
2023-09-28 00:45:00,103.18,19.53915,0.6499999
2023-09-28 00:50:00,103.25,19.55816,0.6499999
2023-09-28 00:55:00,103.74,19.69124,0.6499999
2023-09-28 01:00:00,103.95,19.74827,0.6499999
2023-09-28 01:05:00,103.67,19.67223,0.6499999
2023-09-28 01:10:00,104.04,19.77272,0.6499999
2023-09-28 01:15:00,104.31,19.54072,0.64
2023-09-28 01:20:00,104.17,19.50328,0.64
2023-09-28 01:25:00,102.43,19.03821,0.64
2023-09-28 01:30:00,100.42,18.50491,0.64
2023-09-28 01:35:00,100.78,19.4722,0.67
2023-09-28 01:40:00,102.36,19.31681,0.6499999
2023-09-28 01:45:00,102.59,19.08077,0.64
2023-09-28 01:50:00,102.71,19.11286,0.64
2023-09-28 01:55:00,158.71,10.48866,0.19
2023-09-28 02:00:00,94.07,16.05775,0.61
2023-09-28 02:05:00,95.16,16.86165,0.63
2023-09-28 02:10:00,93.73,15.71262,0.6
2023-09-28 02:15:00,115.35,23.61525,0.67
2023-09-28 02:20:00,99.89,18.36534,0.64
2023-09-28 02:25:00,97.79,18.09204,0.6499999
2023-09-28 02:30:00,96.81,17.5577,0.64
2023-09-28 02:35:00,98.83,18.08621,0.64
2023-09-28 02:40:00,98.05,17.88162,0.64
2023-09-28 02:45:00,96.6,17.22936,0.63
2023-09-28 02:50:00,96.13,17.10904,0.63
2023-09-28 02:55:00,97.75,17.24691,0.62
2023-09-28 03:00:00,98.7,17.48785,0.62
2023-09-28 03:05:00,96.1,16.82994,0.62
2023-09-28 03:10:00,124.98,10.66332,0.27
2023-09-28 03:15:00,97.46,16.89652,0.61
2023-09-28 03:20:00,95.17,16.59652,0.62
2023-09-28 03:25:00,93.88,16.01123,0.61
2023-09-28 03:30:00,169.01,15.05354,0.25
2023-09-28 03:35:00,91,15.55975,0.62
2023-09-28 03:40:00,92.19,15.34193,0.6
2023-09-28 03:45:00,93.64,15.69095,0.6
2023-09-28 03:50:00,101.37,17.87767,0.61
2023-09-28 03:55:00,98.05,16.48462,0.59
2023-09-28 04:00:00,96.68,16.70231,0.61
2023-09-28 04:05:00,97.01,16.78448,0.61
2023-09-28 04:10:00,100.06,17.8348,0.62
2023-09-28 04:15:00,99.49,17.11876,0.6
2023-09-28 04:20:00,99.37,17.65878,0.62
2023-09-28 04:25:00,99.53,17.98507,0.63
2023-09-28 04:30:00,99.65,18.30215,0.64
2023-09-28 04:35:00,101.48,18.78609,0.64
2023-09-28 04:40:00,101.62,18.82324,0.64
2023-09-28 04:45:00,120.26,24.30834,0.6499999
2023-09-28 04:50:00,108.17,20.26135,0.63
2023-09-28 04:55:00,105.09,19.75029,0.64
2023-09-28 05:00:00,103.99,19.45515,0.64
2023-09-28 05:05:00,103.2,19.24389,0.64
2023-09-28 05:10:00,109.11,20.8388,0.64
2023-09-28 05:15:00,109.1,21.16163,0.6499999
2023-09-28 05:20:00,174.02,16.9239,0.27
2023-09-28 05:25:00,109.61,23.2696,0.71
2023-09-28 05:30:00,109.82,22.34734,0.68
2023-09-28 05:35:00,120.52,19.50627,0.52
2023-09-28 05:40:00,118.66,24.58419,0.67
2023-09-28 05:45:00,115.74,24.43736,0.69
2023-09-28 05:50:00,115.47,24.00324,0.68
2023-09-28 05:55:00,114.78,25.199,0.72
2023-09-28 06:00:00,114.86,24.87362,0.71
2023-09-28 06:05:00,117.1,25.20647,0.7
2023-09-28 06:10:00,116.7,25.44249,0.71
2023-09-28 06:15:00,122.53,27.26559,0.71
2023-09-28 06:20:00,121.08,27.18661,0.72
2023-09-28 06:25:00,119.72,27.12634,0.73
2023-09-28 06:30:00,126.5,28.52448,0.71
2023-09-28 06:35:00,126.44,28.90686,0.72
2023-09-28 06:40:00,126.55,29.34436,0.73
2023-09-28 06:45:00,126.82,29.83597,0.7400001
2023-09-28 06:50:00,126.05,28.7809,0.72
2023-09-28 06:55:00,125.98,29.15771,0.73
2023-09-28 07:00:00,127.01,29.495,0.73
2023-09-28 07:05:00,167.59,22.61694,0.38
2023-09-28 07:10:00,132.65,31.78993,0.7400001
2023-09-28 07:15:00,130.2,30.54688,0.73
2023-09-28 07:20:00,134.64,32.4635,0.7400001
2023-09-28 07:25:00,132.19,31.20726,0.73
2023-09-28 07:30:00,130.23,31.39398,0.75
2023-09-28 07:35:00,128.27,30.72907,0.75
2023-09-28 07:40:00,126.64,30.58098,0.76
2023-09-28 07:45:00,125.58,30.21959,0.76
2023-09-28 07:50:00,126.22,31.23879,0.78
2023-09-28 07:55:00,125.81,31.09533,0.78
2023-09-28 08:00:00,131.26,30.05128,0.71
2023-09-28 08:05:00,130.76,31.15325,0.7400001
2023-09-28 08:10:00,129.03,31.39932,0.76
2023-09-28 08:15:00,128.52,30.40279,0.7400001
2023-09-28 08:20:00,127.6,29.68901,0.73
2023-09-28 08:25:00,127.69,30.93996,0.76
2023-09-28 08:30:00,127.14,31.56069,0.78
2023-09-28 08:35:00,130.4,32.29051,0.77
2023-09-28 08:40:00,145.98,34.88789,0.71
2023-09-28 08:45:00,131.88,33.23453,0.78
2023-09-28 08:50:00,129.09,31.8333,0.77
2023-09-28 08:55:00,128.07,31.07023,0.76
2023-09-28 09:00:00,126.2,30.83137,0.77
2023-09-28 09:05:00,126.14,31.21079,0.78
2023-09-28 09:10:00,126.3,31.26678,0.78
2023-09-28 09:15:00,126.59,31.36824,0.78
2023-09-28 09:20:00,133.19,34.13236,0.79
2023-09-28 09:25:00,130.21,33.06117,0.79
2023-09-28 09:30:00,132.26,34.22527,0.8
2023-09-28 09:35:00,129.93,32.96085,0.79
2023-09-28 09:40:00,131.62,32.71718,0.77
2023-09-28 09:45:00,150.83,29.83007,0.58
2023-09-28 09:50:00,136.57,35.35772,0.79
2023-09-28 09:55:00,133.51,33.38094,0.77
2023-09-28 10:00:00,131.42,32.64698,0.77
2023-09-28 10:05:00,131.11,33.38359,0.79
2023-09-28 10:10:00,131.27,33.44094,0.79
2023-09-28 10:15:00,129.19,32.28191,0.78
2023-09-28 10:20:00,127.73,31.76825,0.78
2023-09-28 10:25:00,133.1,33.6683,0.78
2023-09-28 10:30:00,131.45,32.23338,0.76
2023-09-28 10:35:00,128.49,31.21421,0.76
2023-09-28 10:40:00,127.69,31.34707,0.77
2023-09-28 10:45:00,128.24,31.53809,0.77
2023-09-28 10:50:00,128.49,33.26777,0.81
2023-09-28 10:55:00,129.66,33.69613,0.81
2023-09-28 11:00:00,128.99,32.21154,0.78
2023-09-28 11:05:00,132.11,32.88917,0.77
2023-09-28 11:10:00,130.9,33.30835,0.79
2023-09-28 11:15:00,129.02,32.6352,0.79
2023-09-28 11:20:00,128.98,31.7951,0.77
2023-09-28 11:25:00,128.72,32.11655,0.78
2023-09-28 11:30:00,159.87,27.32389,0.49
2023-09-28 11:35:00,135.25,35.31925,0.8
2023-09-28 11:40:00,130.02,32.9931,0.79
2023-09-28 11:45:00,129.88,33.35995,0.8
2023-09-28 11:50:00,129.2,33.11326,0.8
2023-09-28 11:55:00,128.04,32.69468,0.8
2023-09-28 12:00:00,126.74,31.82356,0.79
2023-09-28 12:05:00,126.71,32.21562,0.8
2023-09-28 12:10:00,180.96,26.45128,0.4
2023-09-28 12:15:00,125.99,31.55777,0.79
2023-09-28 12:20:00,125.1,31.24237,0.79
2023-09-28 12:25:00,127.36,31.63807,0.78
2023-09-28 12:30:00,126.65,31.38924,0.78
