0383
BLC_419959_US1
yyyy/MM/dd hh:mm:ss,DFINAL (mm),QFINAL (l/s),VFINAL (m/s)
2023-11-28 14:30:00,,,-2.740457
2023-11-30 14:45:00,,,0.2317544
2023-11-30 14:50:00,23.8125,0.8936994,0.2243816
2023-11-30 14:55:00,32.73505,1.52953,0.2391272
2023-11-30 15:00:00,30.15315,1.346388,0.2377931
2023-11-30 15:05:00,33.77527,1.592573,0.2377357
2023-11-30 15:10:00,34.51396,1.629352,0.235579
2023-11-30 15:15:00,35.15631,1.68883,0.2375231
2023-11-30 15:20:00,35.15771,1.692994,0.2380946
2023-11-30 15:25:00,35.15547,1.698879,0.2389449
2023-11-30 15:30:00,33.15044,1.552124,0.23816
2023-11-30 15:35:00,23.8125,0.9571788,0.2403194
2023-11-30 15:40:00,34.61212,1.730645,0.2491576
2023-11-30 15:45:00,23.8125,0.9901769,0.2486042
2023-11-30 15:50:00,35.54951,1.782137,0.2465328
2023-11-30 15:55:00,30.32149,1.388237,0.2431629
2023-11-30 16:00:00,33.44702,1.590278,0.2408262
2023-11-30 16:05:00,23.8125,1.00176,0.2515124
2023-11-30 16:10:00,23.8125,1.006506,0.2527039
2023-11-30 16:15:00,28.51768,1.297332,0.2489838
2023-11-30 16:20:00,29.74339,1.371923,0.2473073
2023-11-30 16:25:00,30.16833,1.397414,0.2466203
2023-11-30 16:30:00,30.68739,1.436373,0.2471652
2023-11-30 16:35:00,30.31027,1.410454,0.2471902
2023-11-30 16:40:00,23.8125,0.9961777,0.2501109
2023-11-30 16:45:00,33.51458,1.666795,0.2516646
2023-11-30 16:50:00,30.19091,1.437307,0.2533784
2023-11-30 16:55:00,26.81775,1.183081,0.2487861
2023-11-30 17:00:00,27.57892,1.213979,0.2447936
2023-11-30 17:05:00,27.96264,1.229802,0.2429517
2023-11-30 17:10:00,29.87672,1.367922,0.2449399
2023-11-30 17:15:00,29.73885,1.37436,0.2478034
2023-11-30 17:20:00,28.12058,1.347817,0.2640603
2023-11-30 17:25:00,27.47867,1.386621,0.2811277
2023-11-30 17:30:00,27.76919,1.523502,0.3040844
2023-11-30 17:35:00,28.40959,1.620146,0.3126745
2023-11-30 17:40:00,30.25983,1.813658,0.3186418
2023-11-30 17:45:00,30.61541,1.852321,0.3198475
2023-11-30 17:50:00,31.64576,1.992955,0.3278202
2023-11-30 17:55:00,32.5234,2.098047,0.3311975
2023-11-30 18:00:00,33.1526,2.173826,0.3335227
2023-11-30 18:05:00,33.41374,2.175373,0.3299146
2023-11-30 18:10:00,33.72651,2.204143,0.3297278
2023-11-30 18:15:00,35.32649,2.3872,0.3333372
2023-11-30 18:20:00,35.01462,2.349217,0.3324008
2023-11-30 18:25:00,34.4629,2.284666,0.3310647
2023-11-30 18:30:00,35.65167,2.413972,0.3325201
2023-11-30 18:35:00,35.64708,2.405175,0.3313716
2023-11-30 18:40:00,35.39885,2.374973,0.3306219
2023-11-30 18:45:00,36.3153,2.470051,0.3311126
2023-11-30 18:50:00,38.69542,2.806424,0.3423988
2023-11-30 18:55:00,43.17274,3.622624,0.3758388
2023-11-30 19:00:00,49.60825,4.703431,0.3974153
2023-11-30 19:05:00,58.31551,6.454466,0.4296871
2023-11-30 19:10:00,65.63903,8.46551,0.4735775
2023-11-30 19:15:00,72.49486,10.24757,0.4954913
2023-11-30 19:20:00,74.98735,10.96462,0.5045568
2023-11-30 19:25:00,76.60014,11.357,0.5066268
2023-11-30 19:30:00,79.54385,12.20542,0.5152453
2023-11-30 19:35:00,83.46176,13.8051,0.5432397
2023-11-30 19:40:00,93.82332,17.29023,0.5737374
2023-11-30 19:45:00,104.2734,21.46086,0.6109486
2023-11-30 19:50:00,109.2166,23.2518,0.6190271
2023-11-30 19:55:00,111.8752,24.51166,0.6302808
2023-11-30 20:00:00,111.6764,24.06778,0.6204609
2023-11-30 20:05:00,107.1827,22.13018,0.6054032
2023-11-30 20:10:00,100.1208,19.59413,0.5916762
2023-11-30 20:15:00,93.21874,16.71352,0.5598407
2023-11-30 20:20:00,89.27302,15.53231,0.5540903
2023-11-30 20:25:00,89.13264,15.39896,0.5505888
2023-11-30 20:30:00,88.90352,15.35347,0.5510173
2023-11-30 20:35:00,89.43617,15.34779,0.546061
2023-11-30 20:40:00,89.6415,15.41925,0.5467849
2023-11-30 20:45:00,92.58742,16.47238,0.5572615
2023-11-30 20:50:00,99.14053,19.04993,0.5834881
2023-11-30 20:55:00,113.1255,24.95337,0.6314412
2023-11-30 21:00:00,124.2183,29.52357,0.6529186
2023-11-30 21:05:00,134.4963,34.21038,0.6750545
2023-11-30 21:10:00,142.3689,37.59951,0.6840137
2023-11-30 21:15:00,147.4901,41.29462,0.7143406
2023-11-30 21:20:00,150.3423,42.71725,0.719092
2023-11-30 21:25:00,150.3803,42.94839,0.7227221
2023-11-30 21:30:00,149.7417,42.19572,0.7143582
2023-11-30 21:35:00,145.3701,38.62343,0.6820472
2023-11-30 21:40:00,138.9911,34.95692,0.6581017
2023-11-30 21:45:00,131.5159,32.14868,0.6550516
2023-11-30 21:50:00,123.2893,27.17702,0.6075384
2023-11-30 21:55:00,118.9494,25.47994,0.5997474
2023-11-30 22:00:00,108.1504,22.02142,0.5946692
2023-11-30 22:05:00,104.2168,20.71025,0.5900438
2023-11-30 22:10:00,102.6761,20.2513,0.5895751
2023-11-30 22:15:00,101.5482,19.75182,0.5842924
2023-11-30 22:20:00,100.545,19.45109,0.5837554
2023-11-30 22:25:00,100.2302,19.29342,0.5816753
2023-11-30 22:30:00,96.74107,18.13108,0.5754554
2023-11-30 22:35:00,92.49763,16.38541,0.555106
2023-11-30 22:40:00,87.33686,14.5939,0.5375167
2023-11-30 22:45:00,82.27089,12.97294,0.5213275
2023-11-30 22:50:00,77.82282,11.53045,0.5025492
2023-11-30 22:55:00,73.77777,10.28316,0.4846452
2023-11-30 23:00:00,69.5406,8.882801,0.4565143
2023-11-30 23:05:00,66.24604,8.16655,0.4507157
2023-11-30 23:10:00,63.32603,7.456102,0.4397046
2023-11-30 23:15:00,59.38138,6.43933,0.4173599
2023-11-30 23:20:00,56.37185,5.730398,0.4009753
2023-11-30 23:25:00,54.00462,5.280122,0.393576
2023-11-30 23:30:00,52.10869,4.848173,0.3809574
2023-11-30 23:35:00,51.19787,4.702205,0.3792066
2023-11-30 23:40:00,49.72943,4.334122,0.3649046
2023-11-30 23:45:00,48.41853,4.136189,0.3622136
2023-11-30 23:50:00,47.49623,3.984699,0.3590848
2023-11-30 23:55:00,46.55822,3.770853,0.3498998
